### EULER ###
      tK  |     xK[0]      xK[1]  |   xK+1[0]    xK+1[1]
0.820000  |        -713068196.880214        71306819708.431656  |        3565340985.642667        -356534098544.641479
0.840000  |        3565340985.642667      -356534098544.641479  |      -17826704927.019497        1782670492720.819824
0.860000  |      -17826704927.019497      1782670492720.819824  |       89133524636.245407       -8913352463606.396484
0.880000  |       89133524636.245407     -8913352463606.396484  |     -445667623180.123352       44566762318029.773438
0.900000  |     -445667623180.123352     44566762318029.773438  |     2228338115901.677734     -222833811590151.031250
0.920000  |     2228338115901.677734   -222833811590151.031250  |   -11141690579507.373047     1114169057950753.250000
0.940000  |   -11141690579507.373047   1114169057950753.250000  |    55708452897537.843750    -5570845289753769.000000
0.960000  |    55708452897537.843750  -5570845289753769.000000  |  -278542264487688.343750    27854226448768848.000000
0.980000  |  -278542264487688.343750  27854226448768848.000000  |  1392711322438443.000000  -139271132243844272.000000


### PECE ###
      tK  |     xK[0]      xK[1]  |   xK+1[0]    xK+1[1]
0.020000  |  1.000000  -2.000000  |  0.960800  -1.921600
0.040000  |  0.960800  -1.921600  |  0.923137  -1.846273
0.060000  |  0.923137  -1.846273  |  0.886950  -1.773899
0.080000  |  0.886950  -1.773899  |  0.852181  -1.704363
0.100000  |  0.852181  -1.704363  |  0.818776  -1.637552
0.120000  |  0.818776  -1.637552  |  0.786680  -1.573359
0.140000  |  0.786680  -1.573359  |  0.755842  -1.511684
0.160000  |  0.755842  -1.511684  |  0.726213  -1.452426
0.180000  |  0.726213  -1.452426  |  0.697745  -1.395491
0.200000  |  0.697745  -1.395491  |  0.670394  -1.340787
0.220000  |  0.670394  -1.340787  |  0.644114  -1.288229
0.240000  |  0.644114  -1.288229  |  0.618865  -1.237730
0.260000  |  0.618865  -1.237730  |  0.594606  -1.189211
0.280000  |  0.594606  -1.189211  |  0.571297  -1.142594
0.300000  |  0.571297  -1.142594  |  0.548902  -1.097804
0.320000  |  0.548902  -1.097804  |  0.527385  -1.054770
0.340000  |  0.527385  -1.054770  |  0.506712  -1.013423
0.360000  |  0.506712  -1.013423  |  0.486849  -0.973697
0.380000  |  0.486849  -0.973697  |  0.467764  -0.935528
0.400000  |  0.467764  -0.935528  |  0.449428  -0.898856
0.420000  |  0.449428  -0.898856  |  0.431810  -0.863620
0.440000  |  0.431810  -0.863620  |  0.414883  -0.829766
0.460000  |  0.414883  -0.829766  |  0.398620  -0.797240
0.480000  |  0.398620  -0.797240  |  0.382994  -0.765988
0.500000  |  0.382994  -0.765988  |  0.367981  -0.735961
0.520000  |  0.367981  -0.735961  |  0.353556  -0.707111
0.540000  |  0.353556  -0.707111  |  0.339696  -0.679393
0.560000  |  0.339696  -0.679393  |  0.326380  -0.652760
0.580000  |  0.326380  -0.652760  |  0.313586  -0.627172
0.600000  |  0.313586  -0.627172  |  0.301294  -0.602587
0.620000  |  0.301294  -0.602587  |  0.289483  -0.578966
0.640000  |  0.289483  -0.578966  |  0.278135  -0.556270
0.660000  |  0.278135  -0.556270  |  0.267232  -0.534464
0.680000  |  0.267232  -0.534464  |  0.256757  -0.513513
0.700000  |  0.256757  -0.513513  |  0.246692  -0.493384
0.720000  |  0.246692  -0.493384  |  0.237022  -0.474043
0.740000  |  0.237022  -0.474043  |  0.227730  -0.455461
0.760000  |  0.227730  -0.455461  |  0.218803  -0.437607
0.780000  |  0.218803  -0.437607  |  0.210226  -0.420452
0.800000  |  0.210226  -0.420452  |  0.201985  -0.403971
0.820000  |  0.201985  -0.403971  |  0.194067  -0.388135
0.840000  |  0.194067  -0.388135  |  0.186460  -0.372920
0.860000  |  0.186460  -0.372920  |  0.179151  -0.358302
0.880000  |  0.179151  -0.358302  |  0.172128  -0.344256
0.900000  |  0.172128  -0.344256  |  0.165381  -0.330761
0.920000  |  0.165381  -0.330761  |  0.158898  -0.317795
0.940000  |  0.158898  -0.317795  |  0.152669  -0.305338
0.960000  |  0.152669  -0.305338  |  0.146684  -0.293369
0.980000  |  0.146684  -0.293369  |  0.140934  -0.281869
