      xC  |      f(xC)
 0.208496  |     6.063205
-0.078613  |     4.406981
-0.078613  |     4.406981
 0.084595  |     1.145272
 0.084595  |     1.145272
 0.012070  |     1.056206
 0.045315  |     0.947815
 0.017364  |     0.974936
 0.044362  |     0.913641
 0.093541  |     0.829461
 0.142720  |     0.794878
 0.182265  |     0.733102
 0.187585  |     0.660706
 0.225799  |     0.606974
 0.280299  |     0.528704
 0.370190  |     0.433531
 0.364002  |     0.407628
 0.415679  |     0.341483
 0.473544  |     0.302979
 0.483369  |     0.276219
 0.565797  |     0.230426
 0.555016  |     0.211184
 0.610489  |     0.158450
 0.665963  |     0.123870
 0.699873  |     0.091959
 0.746870  |     0.076529
 0.732940  |     0.071774
 0.771212  |     0.052452
 0.823414  |     0.050895
 0.787745  |     0.049092
 0.807532  |     0.041107
 0.821330  |     0.031929
 0.837667  |     0.027024
 0.868649  |     0.018622
 0.922444  |     0.013538
 0.923639  |     0.009729
 0.944162  |     0.004774
 0.964684  |     0.001996
 0.927227  |     0.005402
 0.945058  |     0.003541
 0.950413  |     0.002666
 0.981632  |     0.002096
 0.979182  |     0.001209
 0.984280  |     0.000340
 0.989378  |     0.000178
 1.014472  |     0.000225
 1.000651  |     0.000001
 1.001019  |     0.000150
 1.007654  |     0.000061
 1.002494  |     0.000017
 1.000037  |     0.000003
 0.997395  |     0.000010
 1.000605  |     0.000003
 0.999518  |     0.000000
 1.000506  |     0.000001
 1.000210  |     0.000000
 0.999543  |     0.000001
       xC  |        f(xC)
 0.500000  |  1806.500000
-1.500000  |   162.500000
 0.000000  |  1057.250000
-0.625000  |   530.204102
-0.125000  |     1.875977
-0.125000  |     1.875977
-0.015625  |    70.869833
 0.058594  |     9.844363
 0.058594  |     9.844363
-0.088379  |     1.952789
 0.147217  |     0.798409
 0.220703  |     0.856534
 0.349487  |     0.423350
 0.349487  |     0.423350
 0.351761  |     0.460989
 0.443680  |     0.364970
 0.533325  |     0.229220
 0.557442  |     0.199839
 0.581558  |     0.176048
 0.638439  |     0.223570
 0.583720  |     0.184208
 0.583720  |     0.184208
 0.596319  |     0.175463
 0.573097  |     0.184231
 0.591501  |     0.166871
 0.623636  |     0.145236
 0.645401  |     0.134470
 0.690466  |     0.107664
 0.758576  |     0.091483
 0.742573  |     0.076850
 0.766641  |     0.059579
 0.790709  |     0.046492
 0.814778  |     0.036220
 0.838846  |     0.028198
 0.826875  |     0.041663
 0.853936  |     0.024796
 0.908578  |     0.009976
 0.923019  |     0.006014
 0.978700  |     0.010147
 0.961690  |     0.002477
 0.944679  |     0.003908
 0.964014  |     0.001471
 0.983350  |     0.000378
 0.984512  |     0.000384
 0.987251  |     0.000166
 0.996524  |     0.000076
 0.992204  |     0.000069
 0.993470  |     0.000063
 0.999056  |     0.000042
 1.003376  |     0.000012
 0.999820  |     0.000011
 1.001091  |     0.000002
 0.999251  |     0.000003
 1.001266  |     0.000002
 1.000675  |     0.000000
 1.000092  |     0.000000
       xC  |        f(xC)
 0.500000  |  2256.500000
-1.750000  |    73.578125
-0.062500  |  1289.826721
-0.765625  |   567.063971
-0.167969  |    60.748841
 0.333984  |     7.253569
 0.333984  |     7.253569
 0.050537  |     5.382297
-0.129089  |     6.058600
-0.179626  |     1.403877
-0.179626  |     1.403877
-0.099632  |     1.532380
 0.079994  |     1.000298
 0.079994  |     1.000298
 0.109812  |     0.805038
 0.177262  |     0.682624
 0.177262  |     0.682624
 0.242758  |     0.735084
 0.227361  |     0.627983
 0.211964  |     0.623038
 0.237013  |     0.582411
 0.284240  |     0.512677
 0.331467  |     0.447032
 0.380608  |     0.415391
 0.391457  |     0.387709
 0.467722  |     0.373256
 0.459505  |     0.338542
 0.467123  |     0.295124
 0.474741  |     0.275905
 0.562134  |     0.194348
 0.562134  |     0.194348
 0.615652  |     0.163196
 0.654940  |     0.128890
 0.706757  |     0.087170
 0.758575  |     0.058827
 0.781932  |     0.151208
 0.827910  |     0.060553
 0.873888  |     0.016059
 0.873888  |     0.016059
 0.910441  |     0.008613
 0.861923  |     0.021470
 0.880035  |     0.014402
 0.898148  |     0.012781
 0.891140  |     0.012152
 0.899336  |     0.010134
 0.926238  |     0.005864
 0.944663  |     0.004376
 0.964558  |     0.002843
 0.976711  |     0.000824
 0.988864  |     0.000135
 1.019441  |     0.000898
 1.013267  |     0.000185
 1.002609  |     0.000009
 0.991528  |     0.000100
 0.994510  |     0.000038
 0.997814  |     0.000005
 1.001783  |     0.000007
 1.000458  |     0.000001
 0.999467  |     0.000000
 1.000873  |     0.000001
 1.000314  |     0.000000
       xC  |        f(xC)
 0.500000  |  2756.500000
 0.500000  |  2756.500000
-0.750000  |   940.953125
-0.437500  |     4.387268
-0.437500  |     4.387268
-0.164062  |   144.334396
 0.773438  |    61.000686
-0.136719  |    22.281827
-0.268555  |     6.495426
-0.131836  |     8.741961
-0.167236  |     1.451239
-0.167236  |     1.451239
-0.095673  |     1.594781
 0.071564  |     1.333343
 0.167236  |     0.761809
 0.077591  |     0.948967
 0.077591  |     0.948967
 0.180607  |     0.693842
 0.283623  |     0.564236
 0.290308  |     0.504920
 0.410037  |     0.387803
 0.386790  |     0.378148
 0.429219  |     0.332559
 0.501290  |     0.262767
 0.501290  |     0.262767
 0.509790  |     0.247183
 0.577685  |     0.213250
 0.569212  |     0.201625
 0.615924  |     0.166675
 0.640348  |     0.149377
 0.658971  |     0.117509
 0.677593  |     0.108179
 0.745065  |     0.068758
 0.812536  |     0.036256
 0.831159  |     0.028593
 0.850928  |     0.033610
 0.845794  |     0.026455
 0.847597  |     0.023707
 0.866151  |     0.018219
 0.892091  |     0.012705
 0.934695  |     0.008926
 0.931430  |     0.005643
 0.965872  |     0.001165
 1.000314  |     0.000052
 1.007442  |     0.003785
 1.029710  |     0.001373
 1.009445  |     0.000758
 0.997271  |     0.000008
 1.006382  |     0.000133
 1.004615  |     0.000022
 0.995808  |     0.000105
 0.999183  |     0.000019
 1.002558  |     0.000007
 0.997785  |     0.000005
 1.000336  |     0.000002
 1.000480  |     0.000001
 0.999097  |     0.000001
 1.000062  |     0.000000
 1.000030  |     0.000000
       xC  |        f(xC)
 0.500000  |  3306.500000
 0.500000  |  3306.500000
-0.875000  |  1009.594727
-0.531250  |     2.555393
-0.445312  |   393.130863
-0.251953  |    60.784634
-0.251953  |    60.784634
 0.266357  |     5.301027
-0.116821  |     2.664697
-0.375977  |     1.956541
-0.152405  |     1.445721
-0.226089  |     1.589532
-0.132725  |     1.283986
-0.146226  |     1.364480
-0.013501  |     1.111998
 0.062987  |     0.879539
 0.116978  |     0.859672
 0.092232  |     0.838730
 0.101228  |     0.807856
 0.156340  |     0.711792
 0.211452  |     0.628132
 0.309303  |     0.553841
 0.315205  |     0.492542
 0.427813  |     0.404392
 0.405564  |     0.365439
 0.450971  |     0.303686
 0.518626  |     0.286561
 0.518853  |     0.249091
 0.587077  |     0.195495
 0.570248  |     0.186423
 0.593292  |     0.170563
 0.664623  |     0.115519
 0.735954  |     0.073720
