        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
3.170652  3.045652  3.170652  |  0.441908  0.441919  0.441908
3.170652  3.170652  3.170652  |  0.441908  0.441908  0.441908
3.170652  3.170652  3.170652  |  0.441908  0.441908  0.441908
3.170652  3.170652  3.186277  |  0.441908  0.441908  0.441908
3.186277  3.201902  3.186277  |  0.441908  0.441909  0.441908
3.186277  3.186277  3.178465  |  0.441908  0.441908  0.441908
3.178465  3.170652  3.178465  |  0.441908  0.441908  0.441908
3.178465  3.178465  3.182371  |  0.441908  0.441908  0.441908
3.182371  3.186277  3.182371  |  0.441908  0.441908  0.441908
3.182371  3.182371  3.182371  |  0.441908  0.441908  0.441908
3.182371  3.182371  3.181394  |  0.441908  0.441908  0.441908
3.181394  3.180418  3.181394  |  0.441908  0.441908  0.441908
3.181394  3.181394  3.181394  |  0.441908  0.441908  0.441908
3.181394  3.181394  3.181394  |  0.441908  0.441908  0.441908
3.181394  3.181394  3.181516  |  0.441908  0.441908  0.441908
3.181516  3.181638  3.181516  |  0.441908  0.441908  0.441908
3.181516  3.181516  3.181516  |  0.441908  0.441908  0.441908
3.181516  3.181516  3.181516  |  0.441908  0.441908  0.441908
3.181516  3.181516  3.181501  |  0.441908  0.441908  0.441908
3.181501  3.181486  3.181501  |  0.441908  0.441908  0.441908
3.181501  3.181501  3.181509  |  0.441908  0.441908  0.441908
3.181509  3.181516  3.181509  |  0.441908  0.441908  0.441908
3.181509  3.181509  3.181505  |  0.441908  0.441908  0.441908
3.181505  3.181501  3.181505  |  0.441908  0.441908  0.441908
3.181505  3.181505  3.181507  |  0.441908  0.441908  0.441908
3.181507  3.181509  3.181507  |  0.441908  0.441908  0.441908
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-43.345706  -43.345706  -43.845706  |  0.454568  0.454568  0.443276
-43.845706  -44.345706  -43.845706  |  0.443276  0.473868  0.441946
-43.845706  -43.845706  -43.845706  |  0.441946  0.442203  0.441950
-43.845706  -43.845706  -43.845706  |  0.441946  0.441946  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441950  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441910  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
-43.845706  -43.845706  -43.845706  |  0.441908  0.441908  0.441908
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-24.515974  -24.515974  -24.515974  |  0.347297  0.347297  0.347297
-24.515974  -24.515974  -24.515974  |  0.347297  0.347297  0.346227
-24.515974  -24.515974  -24.765974  |  0.346227  0.354536  0.346199
-24.765974  -25.015974  -24.765974  |  0.346199  0.352110  0.346199
-24.765974  -24.765974  -24.765974  |  0.346199  0.346199  0.345558
-24.765974  -24.765974  -24.890974  |  0.345558  0.347149  0.345658
-24.765974  -24.765974  -24.765974  |  0.345558  0.345558  0.345558
-24.765974  -24.765974  -24.765974  |  0.345558  0.345558  0.345508
-24.765974  -24.765974  -24.734724  |  0.345508  0.345598  0.345514
-24.765974  -24.765974  -24.765974  |  0.345508  0.345508  0.345508
-24.765974  -24.765974  -24.765974  |  0.345508  0.345508  0.345507
-24.765974  -24.765974  -24.773786  |  0.345507  0.345515  0.345507
-24.773786  -24.781599  -24.773786  |  0.345507  0.345513  0.345507
-24.773786  -24.773786  -24.773786  |  0.345507  0.345507  0.345506
-24.773786  -24.773786  -24.777692  |  0.345506  0.345508  0.345507
-24.773786  -24.773786  -24.773786  |  0.345506  0.345506  0.345506
-24.773786  -24.773786  -24.774763  |  0.345506  0.345506  0.345506
-24.774763  -24.775739  -24.775739  |  0.345506  0.345506  0.345506
-24.774763  -24.774763  -24.774763  |  0.345506  0.345506  0.345506
-24.774763  -24.774763  -24.774763  |  0.345506  0.345506  0.345506
-24.774763  -24.774763  -24.774885  |  0.345506  0.345506  0.345506
-24.774885  -24.775007  -24.775007  |  0.345506  0.345506  0.345506
-24.774885  -24.774885  -24.774885  |  0.345506  0.345506  0.345506
-24.774885  -24.774885  -24.774885  |  0.345506  0.345506  0.345506
-24.774885  -24.774885  -24.774854  |  0.345506  0.345506  0.345506
-24.774885  -24.774885  -24.774885  |  0.345506  0.345506  0.345506
-24.774885  -24.774885  -24.774900  |  0.345506  0.345506  0.345506
-24.774885  -24.774885  -24.774885  |  0.345506  0.345506  0.345506
-24.774885  -24.774885  -24.774889  |  0.345506  0.345506  0.345506
-24.774889  -24.774892  -24.774892  |  0.345506  0.345506  0.345506
-24.774889  -24.774889  -24.774889  |  0.345506  0.345506  0.345506
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-13.503372  -13.503372  -14.003372  |  0.562974  0.562974  0.510084
-14.003372  -14.503372  -15.003372  |  0.510084  0.447336  0.442182
-15.003372  -16.003372  -15.503372  |  0.442182  0.496587  0.443701
-15.003372  -15.003372  -15.253372  |  0.442182  0.442182  0.442072
-15.253372  -15.503372  -15.253372  |  0.442072  0.443701  0.442072
-15.253372  -15.253372  -15.128372  |  0.442072  0.442072  0.441912
-15.128372  -15.003372  -15.128372  |  0.441912  0.442182  0.441912
-15.128372  -15.128372  -15.128372  |  0.441912  0.441912  0.441912
-15.128372  -15.128372  -15.159622  |  0.441912  0.441912  0.441911
-15.159622  -15.190872  -15.159622  |  0.441911  0.441938  0.441911
-15.159622  -15.159622  -15.143997  |  0.441911  0.441911  0.441908
-15.143997  -15.128372  -15.143997  |  0.441908  0.441912  0.441908
-15.143997  -15.143997  -15.143997  |  0.441908  0.441908  0.441908
-15.143997  -15.143997  -15.143997  |  0.441908  0.441908  0.441908
-15.143997  -15.143997  -15.143997  |  0.441908  0.441908  0.441908
-15.143997  -15.143997  -15.144973  |  0.441908  0.441908  0.441908
-15.144973  -15.145950  -15.144973  |  0.441908  0.441908  0.441908
-15.144973  -15.144973  -15.144973  |  0.441908  0.441908  0.441908
-15.144973  -15.144973  -15.144729  |  0.441908  0.441908  0.441908
-15.144729  -15.144485  -15.144729  |  0.441908  0.441908  0.441908
-15.144729  -15.144729  -15.144851  |  0.441908  0.441908  0.441908
-15.144851  -15.144973  -15.144851  |  0.441908  0.441908  0.441908
-15.144851  -15.144851  -15.144851  |  0.441908  0.441908  0.441908
-15.144851  -15.144851  -15.144851  |  0.441908  0.441908  0.441908
-15.144851  -15.144851  -15.144836  |  0.441908  0.441908  0.441908
-15.144836  -15.144821  -15.144836  |  0.441908  0.441908  0.441908
-15.144836  -15.144836  -15.144844  |  0.441908  0.441908  0.441908
-15.144844  -15.144851  -15.144844  |  0.441908  0.441908  0.441908
-15.144844  -15.144844  -15.144840  |  0.441908  0.441908  0.441908
-15.144840  -15.144836  -15.144840  |  0.441908  0.441908  0.441908
-15.144840  -15.144840  -15.144840  |  0.441908  0.441908  0.441908
      xB        xP        xN  |     f(xB)     f(xP)     f(xN)
6.074192  6.074192  6.574192  |  0.301587  0.301587  0.102286
6.574192  7.074192  6.574192  |  0.102286  0.567419  0.102286
6.574192  6.574192  6.324192  |  0.102286  0.102286  0.078189
6.324192  6.074192  6.324192  |  0.078189  0.101244  0.078189
6.324192  6.324192  6.324192  |  0.078189  0.078189  0.078189
6.324192  6.324192  6.324192  |  0.078189  0.078189  0.078189
6.324192  6.324192  6.324192  |  0.078189  0.078189  0.078189
6.324192  6.324192  6.324192  |  0.078189  0.078189  0.078189
6.324192  6.324192  6.324192  |  0.078189  0.078189  0.078189
6.324192  6.324192  6.324192  |  0.078189  0.078189  0.078189
6.324192  6.324192  6.324192  |  0.078189  0.078189  0.078189
6.324192  6.324192  6.323215  |  0.078189  0.078189  0.078189
6.323215  6.322239  6.323215  |  0.078189  0.078190  0.078189
6.323215  6.323215  6.323703  |  0.078189  0.078189  0.078189
6.323703  6.324192  6.323703  |  0.078189  0.078189  0.078189
6.323703  6.323703  6.323703  |  0.078189  0.078189  0.078189
6.323703  6.323703  6.323581  |  0.078189  0.078189  0.078189
6.323581  6.323459  6.323581  |  0.078189  0.078189  0.078189
6.323581  6.323581  6.323642  |  0.078189  0.078189  0.078189
6.323642  6.323703  6.323642  |  0.078189  0.078189  0.078189
6.323642  6.323642  6.323612  |  0.078189  0.078189  0.078189
6.323612  6.323581  6.323612  |  0.078189  0.078189  0.078189
6.323612  6.323612  6.323627  |  0.078189  0.078189  0.078189
6.323627  6.323642  6.323627  |  0.078189  0.078189  0.078189
6.323627  6.323627  6.323627  |  0.078189  0.078189  0.078189
6.323627  6.323627  6.323627  |  0.078189  0.078189  0.078189
