        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-11.487850  -11.362850  -11.362850  |  0.178577  0.178441  0.178441
-11.362850  -11.237850  -11.237850  |  0.178441  0.178374  0.178374
-11.237850  -11.112850  -11.112850  |  0.178374  0.178354  0.178354
-11.112850  -10.987850  -10.987850  |  0.178354  0.178372  0.178372
-11.112850  -11.112850  -11.112850  |  0.178354  0.178354  0.178354
-11.112850  -11.112850  -11.081600  |  0.178354  0.178354  0.178261
-11.081600  -11.050350  -11.081600  |  0.178261  0.178797  0.178261
-11.081600  -11.081600  -11.097225  |  0.178261  0.178261  0.178229
-11.097225  -11.112850  -11.097225  |  0.178229  0.178354  0.178229
-11.097225  -11.097225  -11.089413  |  0.178229  0.178229  0.178226
-11.089413  -11.081600  -11.089413  |  0.178226  0.178261  0.178226
-11.089413  -11.089413  -11.093319  |  0.178226  0.178226  0.178222
-11.093319  -11.097225  -11.093319  |  0.178222  0.178229  0.178222
-11.093319  -11.093319  -11.093319  |  0.178222  0.178222  0.178222
-11.093319  -11.093319  -11.092342  |  0.178222  0.178222  0.178222
-11.092342  -11.091366  -11.092342  |  0.178222  0.178223  0.178222
-11.092342  -11.092342  -11.092831  |  0.178222  0.178222  0.178222
-11.092831  -11.093319  -11.092831  |  0.178222  0.178222  0.178222
-11.092831  -11.092831  -11.092586  |  0.178222  0.178222  0.178222
-11.092586  -11.092342  -11.092586  |  0.178222  0.178222  0.178222
-11.092586  -11.092586  -11.092586  |  0.178222  0.178222  0.178222
-11.092586  -11.092586  -11.092647  |  0.178222  0.178222  0.178222
-11.092647  -11.092709  -11.092647  |  0.178222  0.178222  0.178222
-11.092647  -11.092647  -11.092617  |  0.178222  0.178222  0.178222
-11.092617  -11.092586  -11.092617  |  0.178222  0.178222  0.178222
-11.092617  -11.092617  -11.092632  |  0.178222  0.178222  0.178222
-11.092632  -11.092647  -11.092632  |  0.178222  0.178222  0.178222
-11.092632  -11.092632  -11.092625  |  0.178222  0.178222  0.178222
-11.092625  -11.092617  -11.092625  |  0.178222  0.178222  0.178222
-11.092625  -11.092625  -11.092625  |  0.178222  0.178222  0.178222
-11.092625  -11.092625  -11.092626  |  0.178222  0.178222  0.178222
-11.092626  -11.092628  -11.092626  |  0.178222  0.178222  0.178222
       xB         xP         xN  |     f(xB)     f(xP)     f(xN)
-5.506970  -5.506970  -6.006970  |  0.486350  0.486350  0.100872
-6.006970  -6.506970  -6.006970  |  0.100872  0.104675  0.055266
-6.006970  -6.006970  -6.006970  |  0.055266  0.055280  0.037531
-6.006970  -6.006970  -6.006970  |  0.037531  0.055280  0.037531
-6.006970  -6.006970  -6.006970  |  0.037531  0.037531  0.037531
-6.006970  -6.006970  -6.006970  |  0.037531  0.037531  0.037526
-6.006970  -6.006970  -6.006970  |  0.037526  0.040184  0.037526
-6.006970  -6.006970  -6.006970  |  0.037526  0.037526  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037531  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037225  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
-6.006970  -6.006970  -6.006970  |  0.037224  0.037224  0.037224
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-33.890822  -33.890822  -33.390822  |  0.577408  0.577408  0.513922
-33.390822  -32.890822  -32.890822  |  0.513922  0.421678  0.414953
-32.890822  -32.390822  -32.890822  |  0.414953  0.533420  0.428000
-32.890822  -32.890822  -32.890822  |  0.414953  0.414953  0.414953
-32.890822  -32.890822  -32.890822  |  0.414953  0.414953  0.414737
-32.890822  -32.890822  -32.765822  |  0.414737  0.415793  0.414797
-32.890822  -32.890822  -32.890822  |  0.414737  0.414737  0.414687
-32.890822  -32.890822  -32.953322  |  0.414687  0.414953  0.414701
-32.890822  -32.890822  -32.890822  |  0.414687  0.414687  0.414672
-32.890822  -32.890822  -32.859572  |  0.414672  0.414737  0.414677
-32.890822  -32.890822  -32.890822  |  0.414672  0.414672  0.414670
-32.890822  -32.890822  -32.906447  |  0.414670  0.414687  0.414670
-32.890822  -32.890822  -32.890822  |  0.414670  0.414670  0.414668
-32.890822  -32.890822  -32.883010  |  0.414668  0.414672  0.414669
-32.890822  -32.890822  -32.890822  |  0.414668  0.414668  0.414668
-32.890822  -32.890822  -32.894728  |  0.414668  0.414670  0.414668
-32.894728  -32.898635  -32.894728  |  0.414668  0.414669  0.414668
-32.894728  -32.894728  -32.894728  |  0.414668  0.414668  0.414668
-32.894728  -32.894728  -32.896681  |  0.414668  0.414668  0.414668
-32.894728  -32.894728  -32.894728  |  0.414668  0.414668  0.414668
-32.894728  -32.894728  -32.893752  |  0.414668  0.414668  0.414668
-32.894728  -32.894728  -32.894728  |  0.414668  0.414668  0.414668
-32.894728  -32.894728  -32.895217  |  0.414668  0.414668  0.414668
-32.894728  -32.894728  -32.894728  |  0.414668  0.414668  0.414668
-32.894728  -32.894728  -32.894484  |  0.414668  0.414668  0.414668
-32.894728  -32.894728  -32.894728  |  0.414668  0.414668  0.414668
-32.894728  -32.894728  -32.894850  |  0.414668  0.414668  0.414668
-32.894728  -32.894728  -32.894728  |  0.414668  0.414668  0.414668
-32.894728  -32.894728  -32.894667  |  0.414668  0.414668  0.414668
-32.894667  -32.894606  -32.894667  |  0.414668  0.414668  0.414668
-32.894667  -32.894667  -32.894667  |  0.414668  0.414668  0.414668
-32.894667  -32.894667  -32.894637  |  0.414668  0.414668  0.414668
-32.894667  -32.894667  -32.894667  |  0.414668  0.414668  0.414668
-32.894667  -32.894667  -32.894683  |  0.414668  0.414668  0.414668
-32.894683  -32.894698  -32.894683  |  0.414668  0.414668  0.414668
-32.894683  -32.894683  -32.894683  |  0.414668  0.414668  0.414668
-32.894683  -32.894683  -32.894690  |  0.414668  0.414668  0.414668
-32.894683  -32.894683  -32.894683  |  0.414668  0.414668  0.414668
-32.894683  -32.894683  -32.894679  |  0.414668  0.414668  0.414668
-32.894679  -32.894675  -32.894679  |  0.414668  0.414668  0.414668
-32.894679  -32.894679  -32.894679  |  0.414668  0.414668  0.414668
-32.894679  -32.894679  -32.894677  |  0.414668  0.414668  0.414668
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-38.853435  -38.853435  -38.353435  |  0.517352  0.517352  0.475505
-38.353435  -37.853435  -38.353435  |  0.475505  0.473290  0.466364
-38.353435  -38.353435  -38.853435  |  0.466364  0.472841  0.466447
-38.353435  -38.353435  -38.353435  |  0.466364  0.466364  0.466364
-38.353435  -38.353435  -38.353435  |  0.466364  0.466364  0.466364
-38.353435  -38.353435  -38.290935  |  0.466364  0.466364  0.466306
-38.290935  -38.228435  -38.290935  |  0.466306  0.466520  0.466306
-38.290935  -38.290935  -38.322185  |  0.466306  0.466306  0.466301
-38.322185  -38.353435  -38.322185  |  0.466301  0.466364  0.466301
-38.322185  -38.322185  -38.306560  |  0.466301  0.466301  0.466295
-38.306560  -38.290935  -38.306560  |  0.466295  0.466306  0.466295
-38.306560  -38.306560  -38.306560  |  0.466295  0.466295  0.466295
-38.306560  -38.306560  -38.310466  |  0.466295  0.466295  0.466295
-38.310466  -38.314372  -38.310466  |  0.466295  0.466296  0.466295
-38.310466  -38.310466  -38.308513  |  0.466295  0.466295  0.466295
-38.308513  -38.306560  -38.308513  |  0.466295  0.466295  0.466295
-38.308513  -38.308513  -38.308513  |  0.466295  0.466295  0.466295
-38.308513  -38.308513  -38.309001  |  0.466295  0.466295  0.466295
-38.309001  -38.309489  -38.309001  |  0.466295  0.466295  0.466295
-38.309001  -38.309001  -38.308757  |  0.466295  0.466295  0.466295
-38.308757  -38.308513  -38.308513  |  0.466295  0.466295  0.466295
-38.308513  -38.308269  -38.308269  |  0.466295  0.466295  0.466295
-38.308269  -38.308024  -38.308024  |  0.466295  0.466295  0.466295
-38.308024  -38.307780  -38.307780  |  0.466295  0.466295  0.466295
-38.307780  -38.307536  -38.307536  |  0.466295  0.466295  0.466295
-38.307536  -38.307292  -38.307292  |  0.466295  0.466295  0.466295
-38.307292  -38.307048  -38.307048  |  0.466295  0.466295  0.466295
-38.307048  -38.306804  -38.306804  |  0.466295  0.466295  0.466295
-38.306804  -38.306560  -38.306560  |  0.466295  0.466295  0.466295
-38.306560  -38.306315  -38.306315  |  0.466295  0.466295  0.466295
-38.306315  -38.306071  -38.306071  |  0.466295  0.466295  0.466295
-38.306071  -38.305827  -38.305827  |  0.466295  0.466295  0.466295
-38.305827  -38.305583  -38.305583  |  0.466295  0.466295  0.466295
-38.305583  -38.305339  -38.305339  |  0.466295  0.466295  0.466295
-38.305339  -38.305095  -38.305095  |  0.466295  0.466295  0.466295
-38.305095  -38.304851  -38.304851  |  0.466295  0.466295  0.466295
-38.304851  -38.304607  -38.304607  |  0.466295  0.466295  0.466295
-38.304607  -38.304362  -38.304362  |  0.466295  0.466295  0.466295
-38.304607  -38.304607  -38.304607  |  0.466295  0.466295  0.466295
-38.304607  -38.304607  -38.304607  |  0.466295  0.466295  0.466295
-38.304607  -38.304607  -38.304607  |  0.466295  0.466295  0.466295
-38.304607  -38.304607  -38.304607  |  0.466295  0.466295  0.466295
-38.304607  -38.304607  -38.304607  |  0.466295  0.466295  0.466295
-38.304607  -38.304607  -38.304610  |  0.466295  0.466295  0.466295
-38.304610  -38.304614  -38.304610  |  0.466295  0.466295  0.466295
-38.304610  -38.304610  -38.304610  |  0.466295  0.466295  0.466295
       xB         xP         xN  |     f(xB)     f(xP)     f(xN)
12.306635  12.306635  12.806635  |  0.434899  0.434899  0.420240
12.806635  13.306635  13.306635  |  0.420240  0.414677  0.414677
13.306635  13.806635  13.306635  |  0.414677  0.419650  0.414677
13.306635  13.306635  13.306635  |  0.414677  0.414677  0.414677
13.306635  13.306635  13.306635  |  0.414677  0.414677  0.414677
13.306635  13.306635  13.306635  |  0.414677  0.414677  0.414677
13.306635  13.306635  13.337885  |  0.414677  0.414677  0.414671
13.337885  13.369135  13.337885  |  0.414671  0.414706  0.414671
13.337885  13.337885  13.322260  |  0.414671  0.414671  0.414669
13.322260  13.306635  13.322260  |  0.414669  0.414677  0.414669
13.322260  13.322260  13.330073  |  0.414669  0.414669  0.414668
13.330073  13.337885  13.330073  |  0.414668  0.414671  0.414668
13.330073  13.330073  13.326167  |  0.414668  0.414668  0.414668
13.326167  13.322260  13.326167  |  0.414668  0.414669  0.414668
13.326167  13.326167  13.326167  |  0.414668  0.414668  0.414668
13.326167  13.326167  13.327143  |  0.414668  0.414668  0.414668
13.327143  13.328120  13.327143  |  0.414668  0.414668  0.414668
13.327143  13.327143  13.327143  |  0.414668  0.414668  0.414668
13.327143  13.327143  13.327143  |  0.414668  0.414668  0.414668
13.327143  13.327143  13.327143  |  0.414668  0.414668  0.414668
13.327143  13.327143  13.327143  |  0.414668  0.414668  0.414668
13.327143  13.327143  13.327143  |  0.414668  0.414668  0.414668
13.327143  13.327143  13.327143  |  0.414668  0.414668  0.414668
13.327143  13.327143  13.327136  |  0.414668  0.414668  0.414668
13.327136  13.327128  13.327136  |  0.414668  0.414668  0.414668
13.327136  13.327136  13.327136  |  0.414668  0.414668  0.414668
13.327136  13.327136  13.327136  |  0.414668  0.414668  0.414668
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-14.535308  -14.535308  -15.035308  |  0.346296  0.346296  0.231379
-15.035308  -15.535308  -15.035308  |  0.231379  0.281321  0.231379
-15.035308  -15.035308  -15.035308  |  0.231379  0.231379  0.230221
-15.035308  -15.035308  -14.785308  |  0.230221  0.253638  0.228010
-14.785308  -14.535308  -14.535308  |  0.228010  0.227787  0.227787
-14.535308  -14.285308  -14.285308  |  0.227787  0.228757  0.228757
-14.535308  -14.535308  -14.535308  |  0.227787  0.227787  0.227787
-14.535308  -14.535308  -14.535308  |  0.227787  0.227787  0.227787
-14.535308  -14.535308  -14.566558  |  0.227787  0.227787  0.227734
-14.566558  -14.597808  -14.597808  |  0.227734  0.227701  0.227701
-14.597808  -14.629058  -14.629058  |  0.227701  0.227690  0.227690
-14.629058  -14.660308  -14.660308  |  0.227690  0.227702  0.227702
-14.629058  -14.629058  -14.629058  |  0.227690  0.227690  0.227690
-14.629058  -14.629058  -14.629058  |  0.227690  0.227690  0.227690
-14.629058  -14.629058  -14.629058  |  0.227690  0.227690  0.227690
-14.629058  -14.629058  -14.629058  |  0.227690  0.227690  0.227690
-14.629058  -14.629058  -14.629058  |  0.227690  0.227690  0.227690
-14.629058  -14.629058  -14.629058  |  0.227690  0.227690  0.227690
-14.629058  -14.629058  -14.629058  |  0.227690  0.227690  0.227690
-14.629058  -14.629058  -14.629058  |  0.227690  0.227690  0.227690
-14.629058  -14.629058  -14.629058  |  0.227690  0.227690  0.227690
-14.629058  -14.629058  -14.629058  |  0.227690  0.227690  0.227690
-14.629058  -14.629058  -14.629058  |  0.227690  0.227690  0.227690
-14.629058  -14.629058  -14.629050  |  0.227690  0.227690  0.227690
-14.629050  -14.629043  -14.629050  |  0.227690  0.227690  0.227690
-14.629050  -14.629050  -14.629050  |  0.227690  0.227690  0.227690
-14.629050  -14.629050  -14.629046  |  0.227690  0.227690  0.227690
-14.629046  -14.629043  -14.629043  |  0.227690  0.227690  0.227690
-14.629043  -14.629039  -14.629039  |  0.227690  0.227690  0.227690
-14.629043  -14.629043  -14.629043  |  0.227690  0.227690  0.227690
       xB         xP         xN  |     f(xB)     f(xP)     f(xN)
 9.611854   9.611854  10.111854  |  0.447930  0.447930  0.437654
10.111854  10.611854  10.111854  |  0.437654  0.506601  0.437654
10.111854  10.111854   9.861854  |  0.437654  0.437654  0.430274
 9.861854   9.611854   9.861854  |  0.430274  0.447930  0.430274
 9.861854   9.861854   9.986854  |  0.430274  0.430274  0.429868
 9.986854  10.111854  10.111854  |  0.429868  0.429723  0.429723
10.111854  10.236854  10.111854  |  0.429723  0.429848  0.429723
10.111854  10.111854  10.111854  |  0.429723  0.429723  0.429723
10.111854  10.111854  10.111854  |  0.429723  0.429723  0.429723
10.111854  10.111854  10.111854  |  0.429723  0.429723  0.429723
10.111854  10.111854  10.119666  |  0.429723  0.429723  0.429723
10.119666  10.127479  10.119666  |  0.429723  0.429724  0.429723
10.119666  10.119666  10.115760  |  0.429723  0.429723  0.429723
10.115760  10.111854  10.115760  |  0.429723  0.429723  0.429723
10.115760  10.115760  10.117713  |  0.429723  0.429723  0.429723
10.117713  10.119666  10.117713  |  0.429723  0.429723  0.429723
10.117713  10.117713  10.116736  |  0.429723  0.429723  0.429723
10.116736  10.115760  10.116736  |  0.429723  0.429723  0.429723
10.116736  10.116736  10.117225  |  0.429723  0.429723  0.429723
10.117225  10.117713  10.117225  |  0.429723  0.429723  0.429723
10.117225  10.117225  10.117225  |  0.429723  0.429723  0.429723
10.117225  10.117225  10.117225  |  0.429723  0.429723  0.429723
10.117225  10.117225  10.117164  |  0.429723  0.429723  0.429723
10.117164  10.117103  10.117164  |  0.429723  0.429723  0.429723
10.117164  10.117164  10.117194  |  0.429723  0.429723  0.429723
10.117194  10.117225  10.117194  |  0.429723  0.429723  0.429723
10.117194  10.117194  10.117179  |  0.429723  0.429723  0.429723
10.117179  10.117164  10.117179  |  0.429723  0.429723  0.429723
10.117179  10.117179  10.117186  |  0.429723  0.429723  0.429723
10.117186  10.117194  10.117186  |  0.429723  0.429723  0.429723
10.117186  10.117186  10.117186  |  0.429723  0.429723  0.429723
10.117186  10.117186  10.117186  |  0.429723  0.429723  0.429723
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-24.942350  -24.942350  -24.942350  |  0.377003  0.377003  0.377003
-24.942350  -24.942350  -24.692350  |  0.377003  0.377003  0.374753
-24.692350  -24.442350  -24.692350  |  0.374753  0.391885  0.374753
-24.692350  -24.692350  -24.817350  |  0.374753  0.374753  0.373422
-24.817350  -24.942350  -24.817350  |  0.373422  0.377003  0.373422
-24.817350  -24.817350  -24.817350  |  0.373422  0.373422  0.373352
-24.817350  -24.817350  -24.879850  |  0.373352  0.374025  0.373295
-24.879850  -24.942350  -24.942350  |  0.373295  0.373304  0.373304
-24.879850  -24.879850  -24.879850  |  0.373295  0.373295  0.373295
-24.879850  -24.879850  -24.879850  |  0.373295  0.373295  0.373295
-24.879850  -24.879850  -24.887663  |  0.373295  0.373295  0.373292
-24.887663  -24.895475  -24.887663  |  0.373292  0.373307  0.373292
-24.887663  -24.887663  -24.883756  |  0.373292  0.373292  0.373291
-24.883756  -24.879850  -24.883756  |  0.373291  0.373295  0.373291
-24.883756  -24.883756  -24.885710  |  0.373291  0.373291  0.373291
-24.885710  -24.887663  -24.885710  |  0.373291  0.373292  0.373291
-24.885710  -24.885710  -24.884733  |  0.373291  0.373291  0.373291
-24.884733  -24.883756  -24.883756  |  0.373291  0.373291  0.373291
-24.883756  -24.882780  -24.882780  |  0.373291  0.373291  0.373291
-24.883756  -24.883756  -24.883756  |  0.373291  0.373291  0.373291
-24.883756  -24.883756  -24.883756  |  0.373291  0.373291  0.373291
-24.883756  -24.883756  -24.883756  |  0.373291  0.373291  0.373291
-24.883756  -24.883756  -24.883879  |  0.373291  0.373291  0.373291
-24.883879  -24.884001  -24.884001  |  0.373291  0.373291  0.373291
-24.884001  -24.884123  -24.884123  |  0.373291  0.373291  0.373291
-24.884001  -24.884001  -24.884001  |  0.373291  0.373291  0.373291
-24.884001  -24.884001  -24.884001  |  0.373291  0.373291  0.373291
-24.884001  -24.884001  -24.883985  |  0.373291  0.373291  0.373291
-24.883985  -24.883970  -24.883985  |  0.373291  0.373291  0.373291
-24.883985  -24.883985  -24.883993  |  0.373291  0.373291  0.373291
-24.883993  -24.884001  -24.884001  |  0.373291  0.373291  0.373291
-24.884001  -24.884008  -24.884008  |  0.373291  0.373291  0.373291
-24.884001  -24.884001  -24.884001  |  0.373291  0.373291  0.373291
-24.884001  -24.884001  -24.884001  |  0.373291  0.373291  0.373291
       xB         xP         xN  |     f(xB)     f(xP)     f(xN)
32.631254  32.631254  32.631254  |  0.476453  0.476453  0.476453
32.631254  32.631254  32.881254  |  0.476453  0.476453  0.476045
32.881254  33.131254  32.881254  |  0.476045  0.477438  0.476045
32.881254  32.881254  32.756254  |  0.476045  0.476045  0.476023
32.756254  32.631254  32.756254  |  0.476023  0.476453  0.476023
32.756254  32.756254  32.818754  |  0.476023  0.476023  0.475977
32.818754  32.881254  32.818754  |  0.475977  0.476045  0.475977
32.818754  32.818754  32.818754  |  0.475977  0.475977  0.475977
32.818754  32.818754  32.818754  |  0.475977  0.475977  0.475977
32.818754  32.818754  32.810942  |  0.475977  0.475977  0.475977
32.810942  32.803129  32.810942  |  0.475977  0.475978  0.475977
32.810942  32.810942  32.810942  |  0.475977  0.475977  0.475977
32.810942  32.810942  32.812895  |  0.475977  0.475977  0.475977
32.812895  32.814848  32.812895  |  0.475977  0.475977  0.475977
32.812895  32.812895  32.812895  |  0.475977  0.475977  0.475977
32.812895  32.812895  32.812895  |  0.475977  0.475977  0.475977
32.812895  32.812895  32.812651  |  0.475977  0.475977  0.475977
32.812651  32.812407  32.812651  |  0.475977  0.475977  0.475977
32.812651  32.812651  32.812651  |  0.475977  0.475977  0.475977
32.812651  32.812651  32.812651  |  0.475977  0.475977  0.475977
32.812651  32.812651  32.812681  |  0.475977  0.475977  0.475977
32.812681  32.812712  32.812681  |  0.475977  0.475977  0.475977
32.812681  32.812681  32.812681  |  0.475977  0.475977  0.475977
32.812681  32.812681  32.812674  |  0.475977  0.475977  0.475977
32.812674  32.812666  32.812674  |  0.475977  0.475977  0.475977
32.812674  32.812674  32.812674  |  0.475977  0.475977  0.475977
32.812674  32.812674  32.812674  |  0.475977  0.475977  0.475977
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-31.674439  -31.674439  -31.174439  |  0.461990  0.461990  0.451776
-31.174439  -30.674439  -31.174439  |  0.451776  0.461929  0.451776
-31.174439  -31.174439  -31.174439  |  0.451776  0.451776  0.451776
-31.174439  -31.174439  -31.174439  |  0.451776  0.451776  0.451776
-31.174439  -31.174439  -31.174439  |  0.451776  0.451776  0.451776
-31.174439  -31.174439  -31.174439  |  0.451776  0.451776  0.451776
-31.174439  -31.174439  -31.174439  |  0.451776  0.451776  0.451776
-31.174439  -31.174439  -31.174439  |  0.451776  0.451776  0.451776
-31.174439  -31.174439  -31.174439  |  0.451776  0.451776  0.451776
-31.174439  -31.174439  -31.172486  |  0.451776  0.451776  0.451776
-31.172486  -31.170532  -31.172486  |  0.451776  0.451776  0.451776
-31.172486  -31.172486  -31.172486  |  0.451776  0.451776  0.451776
-31.172486  -31.172486  -31.172486  |  0.451776  0.451776  0.451776
-31.172486  -31.172486  -31.172486  |  0.451776  0.451776  0.451776
-31.172486  -31.172486  -31.172608  |  0.451776  0.451776  0.451776
-31.172608  -31.172730  -31.172608  |  0.451776  0.451776  0.451776
-31.172608  -31.172608  -31.172608  |  0.451776  0.451776  0.451776
-31.172608  -31.172608  -31.172577  |  0.451776  0.451776  0.451776
-31.172577  -31.172547  -31.172577  |  0.451776  0.451776  0.451776
-31.172577  -31.172577  -31.172592  |  0.451776  0.451776  0.451776
-31.172592  -31.172608  -31.172592  |  0.451776  0.451776  0.451776
-31.172592  -31.172592  -31.172592  |  0.451776  0.451776  0.451776
-31.172592  -31.172592  -31.172589  |  0.451776  0.451776  0.451776
-31.172589  -31.172585  -31.172589  |  0.451776  0.451776  0.451776
-31.172589  -31.172589  -31.172590  |  0.451776  0.451776  0.451776
-31.172590  -31.172592  -31.172590  |  0.451776  0.451776  0.451776
       xB         xP         xN  |     f(xB)     f(xP)     f(xN)
-4.099576  -4.099576  -3.599576  |  0.638832  0.638832  0.604058
-3.599576  -3.099576  -3.599576  |  0.604058  0.497438  0.384281
-3.599576  -3.599576  -3.099576  |  0.384281  0.496039  0.386917
-3.599576  -3.599576  -3.849576  |  0.384281  0.384281  0.374500
-3.849576  -4.099576  -3.849576  |  0.374500  0.402469  0.374500
-3.849576  -3.849576  -3.724576  |  0.374500  0.374500  0.374032
-3.724576  -3.599576  -3.474576  |  0.374032  0.373688  0.373456
-3.474576  -3.224576  -3.224576  |  0.373456  0.373291  0.373291
-3.224576  -2.974576  -3.099576  |  0.373291  0.373460  0.373338
-3.224576  -3.224576  -3.224576  |  0.373291  0.373291  0.373291
-3.224576  -3.224576  -3.224576  |  0.373291  0.373291  0.373291
-3.224576  -3.224576  -3.240201  |  0.373291  0.373291  0.373291
-3.240201  -3.255826  -3.240201  |  0.373291  0.373292  0.373291
-3.240201  -3.240201  -3.232388  |  0.373291  0.373291  0.373291
-3.232388  -3.224576  -3.232388  |  0.373291  0.373291  0.373291
-3.232388  -3.232388  -3.236294  |  0.373291  0.373291  0.373291
-3.236294  -3.240201  -3.236294  |  0.373291  0.373291  0.373291
-3.236294  -3.236294  -3.236294  |  0.373291  0.373291  0.373291
-3.236294  -3.236294  -3.235318  |  0.373291  0.373291  0.373291
-3.235318  -3.234341  -3.235318  |  0.373291  0.373291  0.373291
-3.235318  -3.235318  -3.235318  |  0.373291  0.373291  0.373291
-3.235318  -3.235318  -3.235562  |  0.373291  0.373291  0.373291
-3.235562  -3.235806  -3.235562  |  0.373291  0.373291  0.373291
-3.235562  -3.235562  -3.235562  |  0.373291  0.373291  0.373291
-3.235562  -3.235562  -3.235501  |  0.373291  0.373291  0.373291
-3.235501  -3.235440  -3.235501  |  0.373291  0.373291  0.373291
-3.235501  -3.235501  -3.235501  |  0.373291  0.373291  0.373291
-3.235501  -3.235501  -3.235501  |  0.373291  0.373291  0.373291
-3.235501  -3.235501  -3.235509  |  0.373291  0.373291  0.373291
-3.235509  -3.235516  -3.235509  |  0.373291  0.373291  0.373291
-3.235509  -3.235509  -3.235505  |  0.373291  0.373291  0.373291
-3.235505  -3.235501  -3.235505  |  0.373291  0.373291  0.373291
-3.235505  -3.235505  -3.235505  |  0.373291  0.373291  0.373291
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-38.029124  -38.029124  -37.529124  |  0.552995  0.552995  0.464267
-37.529124  -37.029124  -37.029124  |  0.464267  0.414682  0.414682
-37.029124  -36.529124  -37.029124  |  0.414682  0.468909  0.414682
-37.029124  -37.029124  -37.029124  |  0.414682  0.414682  0.414682
-37.029124  -37.029124  -37.029124  |  0.414682  0.414682  0.414682
-37.029124  -37.029124  -37.029124  |  0.414682  0.414682  0.414669
-37.029124  -37.029124  -37.029124  |  0.414669  0.414702  0.414669
-37.029124  -37.029124  -37.029124  |  0.414669  0.414669  0.414669
-37.029124  -37.029124  -37.029124  |  0.414669  0.414669  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414670  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414668  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414668  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414668  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414668  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414668  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414668  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414668  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414668  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414668  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414668  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414668  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414668  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414668  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414668  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414668  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414668  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414668  0.414668
-37.029124  -37.029124  -37.029124  |  0.414668  0.414668  0.414668
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-35.522182  -35.522182  -35.022182  |  0.506073  0.506073  0.454215
-35.022182  -34.522182  -35.022182  |  0.454215  0.478361  0.454215
-35.022182  -35.022182  -34.772182  |  0.454215  0.454215  0.451835
-34.772182  -34.522182  -34.772182  |  0.451835  0.455969  0.451835
-34.772182  -34.772182  -34.772182  |  0.451835  0.451835  0.451835
-34.772182  -34.772182  -34.834682  |  0.451835  0.451835  0.451817
-34.834682  -34.897182  -34.897182  |  0.451817  0.451802  0.451802
-34.897182  -34.959682  -34.959682  |  0.451802  0.451790  0.451790
-34.959682  -35.022182  -35.022182  |  0.451790  0.451781  0.451781
-35.022182  -35.084682  -35.084682  |  0.451781  0.451776  0.451776
